TradeSeq TradeDate DeliveryMonth SettlePrice
72 870414 8712 283.4
73 870415 8712 288.9
74 870416 8712 292.35
75 870420 8712 290.9
76 870421 8712 298.6
77 870422 8712 290.05
78 870423 8712 291.25
79 870424 8712 284.35
80 870427 8712 284.1
81 870428 8712 287.25
82 870429 8712 288.75
83 870430 8712 293.1
84 870501 8712 293.6
85 870504 8712 295.5
86 870505 8712 300.3
87 870506 8712 300.6
88 870507 8712 298.85
89 870508 8712 299.25
90 870511 8712 295.8
91 870512 8712 299
92 870513 8712 299.3
93 870514 8712 299.3
94 870515 8712 291.95
95 870518 8712 291.9
96 870519 8712 283.65
97 870520 8712 284.25
98 870521 8712 285.15
99 870522 8712 286.15
100 870526 8712 294.1
101 870527 8712 293.7
102 870528 8712 296.5
103 870529 8712 293.75
104 870601 8712 295.1
105 870602 8712 292.5
106 870603 8712 298.8
107 870604 8712 299.4
108 870605 8712 297.35
109 870608 8712 300.55
110 870609 8712 301.7
111 870610 8712 301.1
112 870611 8712 303.6
113 870612 8712 306.1
114 870615 8712 308.2
115 870616 8712 309.45
116 870617 8712 309.75
117 870618 8712 310.7
118 870619 8712 311.2
119 870622 8712 315
120 870623 8712 313.1
121 870624 8712 311.55
122 870625 8712 313.15
123 870626 8712 313
124 870629 8712 312.15
125 870630 8712 305.95
126 870701 8712 307.15
127 870702 8712 309.3
128 870706 8712 308.45
129 870707 8712 312.4
130 870708 8712 313.2
131 870709 8712 311.25
132 870710 8712 311.85
133 870713 8712 311.85
134 870714 8712 314.35
135 870715 8712 314.6
136 870716 8712 316.55
137 870717 8712 317.3
138 870720 8712 315.15
139 870721 8712 312.45
140 870722 8712 312.45
141 870723 8712 311.75
142 870724 8712 312.9
143 870727 8712 314.15
144 870728 8712 315.55
145 870729 8712 319.6
146 870730 8712 322.2
147 870731 8712 322.8
148 870803 8712 321.5
149 870804 8712 320.1
150 870805 8712 321.85
151 870806 8712 325.9
152 870807 8712 327.75
153 870810 8712 332.15
154 870811 8712 337.65
155 870812 8712 337.25
156 870813 8712 338.7
157 870814 8712 338.85
158 870817 8712 338.5
159 870818 8712 333.05
160 870819 8712 334.3
161 870820 8712 339.5
162 870821 8712 338.85
163 870824 8712 338.15
164 870825 8712 341.3
165 870826 8712 338.95
166 870827 8712 334.95
167 870828 8712 330.4
168 870831 8712 333.8
169 870901 8712 326.25
170 870902 8712 325.55
171 870903 8712 322.55
172 870904 8712 318
173 870908 8712 316.8
174 870909 8712 316.75
175 870910 8712 319.95
176 870911 8712 324.8
177 870914 8712 324.8
178 870915 8712 319.8
179 870916 8712 316.35
180 870917 8712 317.75
181 870918 8712 318.35
182 870921 8712 313.25
183 870922 8712 324
184 870923 8712 324.9
185 870924 8712 322.4
186 870925 8712 324.35
187 870928 8712 326.4
188 870929 8712 324.7
189 870930 8712 325.85
190 871001 8712 331.7
191 871002 8712 331.35
192 871005 8712 330.8
193 871006 8712 319.85
194 871007 8712 320.65
195 871008 8712 315.8
196 871009 8712 312.2
197 871012 8712 311.6
198 871013 8712 315.65
199 871014 8712 305
200 871015 8712 298.25
201 871016 8712 282.25
202 871019 8712 201.5
203 871020 8712 216.25
204 871021 8712 258.25
205 871022 8712 244.5
206 871023 8712 241
207 871026 8712 220.25
208 871027 8712 228.6
209 871028 8712 231.25
210 871029 8712 245.7
211 871030 8712 259.35
212 871102 8712 257.75
213 871103 8712 250.15
214 871104 8712 250.15
215 871105 8712 255.4
216 871106 8712 249.1
217 871109 8712 245.6
218 871110 8712 239.4
219 871111 8712 242.2
220 871112 8712 249.6
221 871113 8712 247.6
222 871116 8712 248.2
223 871117 8712 242.7
224 871118 8712 246.55
225 871119 8712 238.8
226 871120 8712 241.9
227 871123 8712 244.1
228 871124 8712 246.15
229 871125 8712 244.3
230 871127 8712 237
231 871130 8712 232
232 871201 8712 231.85
233 871202 8712 233.05
234 871203 8712 223.6
235 871204 8712 225.55
236 871207 8712 229.5
237 871208 8712 234.65
238 871209 8712 239.65
239 871210 8712 234.35
240 871211 8712 235.45
241 871214 8712 244
242 871215 8712 244.55
243 871216 8712 247.5
244 871217 8712 243.15
